ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
	al·lèrgia a les proteïnes urinàries d'animal ||| al·lèrgia a les proteïnes de l'orina d'animal	ca	01012021					al·lèrgia a les proteïnes urinàries d'animal 	al·lèrgia a les proteïnes de l'orina d'animal
	al·lèrgia a les proteïnes urinàries de conill ||| al·lèrgia a les proteïnes de l'orina de conill	ca	01012021					al·lèrgia a les proteïnes urinàries de conill 	al·lèrgia a les proteïnes de l'orina de conill
	al·lèrgia a les proteïnes urinàries de porc ||| al·lèrgia a les proteïnes de l'orina de porc	ca	01012021					al·lèrgia a les proteïnes urinàries de porc 	al·lèrgia a les proteïnes de l'orina de porc
	al·lèrgia a les proteïnes urinàries de rata ||| al·lèrgia a les proteïnes de l'orina de rata	ca	01012021					al·lèrgia a les proteïnes urinàries de rata 	al·lèrgia a les proteïnes de l'orina de rata
	al·lèrgia a les proteïnes urinàries de ratolí ||| al·lèrgia a les proteïnes de l'orina de ratolí	ca	01012021					al·lèrgia a les proteïnes urinàries de ratolí 	al·lèrgia a les proteïnes de l'orina de ratolí
	"al·lèrgia a les resines vegetals ||| al·lèrgia a les reïnes d'origen vegetal

||| al·lèrgia a les reïnes vegetals||| al·lèrgia a les resines d'origen vegetal"	ca	01012021					al·lèrgia a les resines vegetals 	"al·lèrgia a les reïnes d'origen vegetal

||| al·lèrgia a les reïnes vegetals||| al·lèrgia a les resines d'origen vegetal"
	al·lèrgia a les sals de rehidratació oral ||| al·lèrgia a les SRO	ca	01012021					al·lèrgia a les sals de rehidratació oral 	al·lèrgia a les SRO
	al·lèrgia a les sals ferroses ||| al·lèrgia a les sals de ferro	ca	01012021					al·lèrgia a les sals ferroses 	al·lèrgia a les sals de ferro
	al·lèrgia a les solucions cardioplègiques ||| al·lèrgia a les solucions de cardioplegia	ca	01012021					al·lèrgia a les solucions cardioplègiques 	al·lèrgia a les solucions de cardioplegia
	al·lèrgia a les solucions clorades	ca	01012021					al·lèrgia a les solucions clorades	
	al·lèrgia a les solucions d'albúmina	ca	01012021					al·lèrgia a les solucions d'albúmina	
	al·lèrgia a les solucions d'hemofiltració ||| al·lèrgia a les solucions d'ultrafiltració	ca	01012021					al·lèrgia a les solucions d'hemofiltració 	al·lèrgia a les solucions d'ultrafiltració
	al·lèrgia a les solucions de diàlisi peritoneal ||| al·lèrgia a les solucions per a diàlisi peritoneal	ca	01012021					al·lèrgia a les solucions de diàlisi peritoneal 	al·lèrgia a les solucions per a diàlisi peritoneal
	al·lèrgia a les solucions de proteïnes plasmàtiques	ca	01012021					al·lèrgia a les solucions de proteïnes plasmàtiques	
	al·lèrgia a les sulfonamides	ca	01012021					al·lèrgia a les sulfonamides	
	al·lèrgia a les tintures desinfectants	ca	01012021					al·lèrgia a les tintures desinfectants	
	al·lèrgia a les vacunes ||| al·lèrgia als vaccins	ca	01012021					al·lèrgia a les vacunes 	al·lèrgia als vaccins
	"al·lèrgia a les vacunes amb extractes d'al·lergògens ||| al·lèrgia a les vacunes amb extractes d'al·lèrgens 

||| al·lèrgia a les vacunes antial·lèrgiques||| al·lèrgia a les vacunes contra l'al·lèrgia"	ca	01012021					al·lèrgia a les vacunes amb extractes d'al·lergògens 	"al·lèrgia a les vacunes amb extractes d'al·lèrgens 

||| al·lèrgia a les vacunes antial·lèrgiques||| al·lèrgia a les vacunes contra l'al·lèrgia"
	"al·lèrgia a les vacunes, a les immunoglobulines i als antisèrums||| al·lèrgia a les vacunes, a les immunoglobulines i als immunosèrums

||| al·lèrgia a les vacunes, a les immunoglobulines i als sèrums immunes"	ca	01012021					al·lèrgia a les vacunes, a les immunoglobulines i als antisèrums	"al·lèrgia a les vacunes, a les immunoglobulines i als immunosèrums

||| al·lèrgia a les vacunes, a les immunoglobulines i als sèrums immunes"
	al·lèrgia a les vitamines de l'alimentació parenteral	ca	01012021					al·lèrgia a les vitamines de l'alimentació parenteral	
	al·lèrgia a les vitamines hidrosolubles	ca	01012021					al·lèrgia a les vitamines hidrosolubles	
	al·lèrgia a les vitamines liposolubles	ca	01012021					al·lèrgia a les vitamines liposolubles	
	al·lèrgia a Phyllostachys pubescens	ca	01012021					al·lèrgia a Phyllostachys pubescens	
	al·lèrgia a Saccharopolyspora rectivirgula	ca	01012021					al·lèrgia a Saccharopolyspora rectivirgula	
	al·lèrgia a Stachybotrys chartarum	ca	01012021					al·lèrgia a Stachybotrys chartarum	
	al·lèrgia a Stemphylium botryosum	ca	01012021					al·lèrgia a Stemphylium botryosum	
	al·lèrgia a substàncies	ca	01012021					al·lèrgia a substàncies	
	al·lèrgia a Syagrus romanzoffianum	ca	01012021					al·lèrgia a Syagrus romanzoffianum	
	al·lèrgia a Thermoactinomyces vulgaris	ca	01012021					al·lèrgia a Thermoactinomyces vulgaris	
	al·lèrgia a Trichoderma viride	ca	01012021					al·lèrgia a Trichoderma viride	
	al·lèrgia a Trichophyton rubrum	ca	01012021					al·lèrgia a Trichophyton rubrum	
	al·lèrgia a Tyrophagus putrescentiae	ca	01012021					al·lèrgia a Tyrophagus putrescentiae	
	al·lèrgia a Ustilago nuda	ca	01012021					al·lèrgia a Ustilago nuda	
	al·lèrgia a vehicles ||| al·lèrgia a excipients	ca	01012021					al·lèrgia a vehicles 	al·lèrgia a excipients
	al·lèrgia a Xanthium commune	ca	01012021					al·lèrgia a Xanthium commune	
	al·lèrgia al bacallà (Gadus morhua) ||| al·lèrgia a l'abadejo (Gadus morhua)	ca	01012021					al·lèrgia al bacallà (Gadus morhua) 	al·lèrgia a l'abadejo (Gadus morhua)
	al·lèrgia al baclofèn	ca	01012021					al·lèrgia al baclofèn	
	al·lèrgia al bàlsam del Perú (Myroxylon pereirae)	ca	01012021					al·lèrgia al bàlsam del Perú (Myroxylon pereirae)	
	al·lèrgia al bambuterol	ca	01012021					al·lèrgia al bambuterol	
	al·lèrgia al bedoll (Betula pendula) ||| al·lèrgia al beç (Betula pendula)||| al·lèrgia al bedoll comú (Betula pendula)	ca	01012021					al·lèrgia al bedoll (Betula pendula) 	al·lèrgia al beç (Betula pendula)||| al·lèrgia al bedoll comú (Betula pendula)
	al·lèrgia al befeni	ca	01012021					al·lèrgia al befeni	
	al·lèrgia al benperidol	ca	01012021					al·lèrgia al benperidol	
	al·lèrgia al benzalconi	ca	01012021					al·lèrgia al benzalconi	
	al·lèrgia al benzoat de benzil	ca	01012021					al·lèrgia al benzoat de benzil	
	al·lèrgia al beractant	ca	01012021					al·lèrgia al beractant	
	al·lèrgia al betanecol	ca	01012021					al·lèrgia al betanecol	
	al·lèrgia al betaxolol	ca	01012021					al·lèrgia al betaxolol	
	al·lèrgia al bezafibrat	ca	01012021					al·lèrgia al bezafibrat	
	al·lèrgia al biperidèn	ca	01012021					al·lèrgia al biperidèn	
	al·lèrgia al bisacodil	ca	01012021					al·lèrgia al bisacodil	
	al·lèrgia al bisoprolol	ca	01012021					al·lèrgia al bisoprolol	
	"al·lèrgia al bitxo||| al·lèrgia a la cirereta  


||| al·lèrgia a la pebrina||| al·lèrgia al citró||| al·lèrgia al coralet||| al·lèrgia al fruit de la bitxera (Capsicum frutescens) ||| al·lèrgia al fruit del bitxo (Capsicum frutescens) ||| al·lèrgia al pebre de cirereta||| al·lèrgia al vitet al·lèrgia al vitxo"	ca	01012021					al·lèrgia al bitxo	"al·lèrgia a la cirereta  


||| al·lèrgia a la pebrina||| al·lèrgia al citró||| al·lèrgia al coralet||| al·lèrgia al fruit de la bitxera (Capsicum frutescens) ||| al·lèrgia al fruit del bitxo (Capsicum frutescens) ||| al·lèrgia al pebre de cirereta||| al·lèrgia al vitet al·lèrgia al vitxo"
	al·lèrgia al blat||| al·lèrgia al blat (Triticum) ||| al·lèrgia al gra del blat (Triticum)	ca	01012021					al·lèrgia al blat	al·lèrgia al blat (Triticum) ||| al·lèrgia al gra del blat (Triticum)
	"al·lèrgia al blat de moro ||| al·lèrgia a la dacsa 


||| al·lèrgia a la milloca||| al·lèrgia al blat de l'Índia||| al·lèrgia al gra de la dacsa (Zea mays)||| al·lèrgia al gra de la milloca (Zea mays)||| al·lèrgia al gra del blat de l'Índia (Zea mays)||| al·lèrgia al gra del blat de moro (Zea mays) ||| al·lèrgia al gra del milloc (Zea mays)||| al·lèrgia al gra del moresc (Zea mays)||| al·lèrgia al gra del panís (Zea mays)||| al·lèrgia al milloc||| al·lèrgia al moresc ||| al·lèrgia al panís"	ca	01012021					al·lèrgia al blat de moro 	"al·lèrgia a la dacsa 


||| al·lèrgia a la milloca||| al·lèrgia al blat de l'Índia||| al·lèrgia al gra de la dacsa (Zea mays)||| al·lèrgia al gra de la milloca (Zea mays)||| al·lèrgia al gra del blat de l'Índia (Zea mays)||| al·lèrgia al gra del blat de moro (Zea mays) ||| al·lèrgia al gra del milloc (Zea mays)||| al·lèrgia al gra del moresc (Zea mays)||| al·lèrgia al gra del panís (Zea mays)||| al·lèrgia al milloc||| al·lèrgia al moresc ||| al·lèrgia al panís"
	al·lèrgia al blet blanc (Chenopodium album) ||| al·lèrgia a l'armoll (Chenopodium album)||| al·lèrgia a l'espinac de carn (Chenopodium album)||| al·lèrgia a l'herba blanca (Chenopodium album)||| al·lèrgia al blet moll (Chenopodium album)	ca	01012021					al·lèrgia al blet blanc (Chenopodium album) 	al·lèrgia a l'armoll (Chenopodium album)||| al·lèrgia a l'espinac de carn (Chenopodium album)||| al·lèrgia a l'herba blanca (Chenopodium album)||| al·lèrgia al blet moll (Chenopodium album)
	al·lèrgia al borat	ca	01012021					al·lèrgia al borat	
	al·lèrgia al bou (Cancer pagurus)	ca	01012021					al·lèrgia al bou (Cancer pagurus)	
	al·lèrgia al bretili	ca	01012021					al·lèrgia al bretili	
	al·lèrgia al bròcoli (Brassica oleracea var. italica)	ca	01012021					al·lèrgia al bròcoli (Brassica oleracea var. italica)	
	al·lèrgia al brom (Bromus inermis)||| al·lèrgia al bromus inerme (Bromus inermis)	ca	01012021					al·lèrgia al brom (Bromus inermis)	al·lèrgia al bromus inerme (Bromus inermis)
	al·lèrgia al bromazepam	ca	01012021					al·lèrgia al bromazepam	
	al·lèrgia al bromhidrat d'escopolamina ||| al·lèrgia al bromhidrat d'hioscina||| al·lèrgia al bromhidrat de tropat d'escopina	ca	01012021					al·lèrgia al bromhidrat d'escopolamina 	al·lèrgia al bromhidrat d'hioscina||| al·lèrgia al bromhidrat de tropat d'escopina
	al·lèrgia al bromhidrat de dextrometorfan	ca	01012021					al·lèrgia al bromhidrat de dextrometorfan	
	al·lèrgia al bromur d'emeproni	ca	01012021					al·lèrgia al bromur d'emeproni	
	al·lèrgia al bròquil blanc (Brassica oleracea var. botrytis) ||| al·lèrgia a la coliflor (Brassica oleracea var. botrytis)||| al·lèrgia a la floricol (Brassica oleracea var. botrytis)	ca	01012021					al·lèrgia al bròquil blanc (Brassica oleracea var. botrytis) 	al·lèrgia a la coliflor (Brassica oleracea var. botrytis)||| al·lèrgia a la floricol (Brassica oleracea var. botrytis)
	al·lèrgia al bufexamac	ca	01012021					al·lèrgia al bufexamac	
	al·lèrgia al busulfan	ca	01012021					al·lèrgia al busulfan	
	al·lèrgia al butilbromur d'hioscina ||| al·lèrgia a l'escopolamina butilbromur	ca	01012021					al·lèrgia al butilbromur d'hioscina 	al·lèrgia a l'escopolamina butilbromur
	al·lèrgia al cacau||| al·lèrgia a la llavor del cacau (Theobroma cacao) ||| al·lèrgia a la llavor del cacauer (Theobroma cacao)	ca	01012021					al·lèrgia al cacau	al·lèrgia a la llavor del cacau (Theobroma cacao) ||| al·lèrgia a la llavor del cacauer (Theobroma cacao)
	al·lèrgia al cacauet||| al·lèrgia al fruit del cacauet (Arachis hypogaea)	ca	01012021					al·lèrgia al cacauet	al·lèrgia al fruit del cacauet (Arachis hypogaea)
	al·lèrgia al cafè||| al·lèrgia a la llavor del cafè (Coffea)	ca	01012021					al·lèrgia al cafè	al·lèrgia a la llavor del cafè (Coffea)
	al·lèrgia al calamar (Loligo vulgaris) ||| al·lèrgia al calamars (Loligo vulgaris)	ca	01012021					al·lèrgia al calamar (Loligo vulgaris) 	al·lèrgia al calamars (Loligo vulgaris)
	al·lèrgia al calcipotriol	ca	01012021					al·lèrgia al calcipotriol	
	al·lèrgia al canreonat de potassi	ca	01012021					al·lèrgia al canreonat de potassi	
	al·lèrgia al canyís (Phragmites australis)||| al·lèrgia a la canya borda (Phragmites australis)   ||| al·lèrgia a la canya-xiula (Phragmites australis) ||| al·lèrgia a la canyavera (Phragmites australis) ||| al·lèrgia a la canyeta (Phragmites australis) ||| al·lèrgia a la canyissa (Phragmites australis)||| al·lèrgia a la milloca (Phragmites australis) ||| al·lèrgia al canyot (Phragmites australis)||| al·lèrgia al senill (Phragmites australis)||| al·lèrgia al senís (Phragmites australis)	ca	01012021					al·lèrgia al canyís (Phragmites australis)	al·lèrgia a la canya borda (Phragmites australis)   ||| al·lèrgia a la canya-xiula (Phragmites australis) ||| al·lèrgia a la canyavera (Phragmites australis) ||| al·lèrgia a la canyeta (Phragmites australis) ||| al·lèrgia a la canyissa (Phragmites australis)||| al·lèrgia a la milloca (Phragmites australis) ||| al·lèrgia al canyot (Phragmites australis)||| al·lèrgia al senill (Phragmites australis)||| al·lèrgia al senís (Phragmites australis)
	al·lèrgia al caolí	ca	01012021					al·lèrgia al caolí	
	al·lèrgia al capoc ||| al·lèrgia a l'aràujia ||| al·lèrgia al miraguà	ca	01012021					al·lèrgia al capoc 	al·lèrgia a l'aràujia ||| al·lèrgia al miraguà
	al·lèrgia al caqui||| al·lèrgia al fruit del caquier (Diospyros kaki)	ca	01012021					al·lèrgia al caqui	al·lèrgia al fruit del caquier (Diospyros kaki)
	"al·lèrgia al carabassó ||| al·lèrgia al carbassó

||| al·lèrgia al fruit de la carabassonera (Cucurbita pepo var. oblonga)||| al·lèrgia al fruit de la carbassonera (Cucurbita pepo var. oblonga)|||  al·lèrgia al fruit del carabassó (Cucurbita pepo var. oblonga)|||  al·lèrgia al fruit del carbassó (Cucurbita pepo var. oblonga)"	ca	01012021					al·lèrgia al carabassó 	"al·lèrgia al carbassó

||| al·lèrgia al fruit de la carabassonera (Cucurbita pepo var. oblonga)||| al·lèrgia al fruit de la carbassonera (Cucurbita pepo var. oblonga)|||  al·lèrgia al fruit del carabassó (Cucurbita pepo var. oblonga)|||  al·lèrgia al fruit del carbassó (Cucurbita pepo var. oblonga)"
	al·lèrgia al caragol sapenc (Helix aspersa)||| al·lèrgia al cargol sapenc (Helix aspersa)	ca	01012021					al·lèrgia al caragol sapenc (Helix aspersa)	al·lèrgia al cargol sapenc (Helix aspersa)
	al·lèrgia al carbacol	ca	01012021					al·lèrgia al carbacol	
	al·lèrgia al carbaril	ca	01012021					al·lèrgia al carbaril	
	al·lèrgia al carbimazole	ca	01012021					al·lèrgia al carbimazole	
	al·lèrgia al carbó activat ||| al·lèrgia al carbó actiu	ca	01012021					al·lèrgia al carbó activat 	al·lèrgia al carbó actiu
	al·lèrgia al carbòmer 940	ca	01012021					al·lèrgia al carbòmer 940	
	al·lèrgia al carbonat de liti	ca	01012021					al·lèrgia al carbonat de liti	
	al·lèrgia al carboplatí	ca	01012021					al·lèrgia al carboplatí	
	al·lèrgia al carboprost	ca	01012021					al·lèrgia al carboprost	
	al·lèrgia al cardamom||| al·lèrgia a la llavor del cardamom (Elettaria cardamomum)	ca	01012021					al·lèrgia al cardamom	al·lèrgia a la llavor del cardamom (Elettaria cardamomum)
	al·lèrgia al carisoprodol	ca	01012021					al·lèrgia al carisoprodol	
	al·lèrgia al carteolol	ca	01012021					al·lèrgia al carteolol	
	al·lèrgia al carvedilol	ca	01012021					al·lèrgia al carvedilol	
	al·lèrgia al castanyer bord (Aesculus hippocastanum) ||| al·lèrgia al castanyer d'Índia (Aesculus hippocastanum)	ca	01012021					al·lèrgia al castanyer bord (Aesculus hippocastanum) 	al·lèrgia al castanyer d'Índia (Aesculus hippocastanum)
	al·lèrgia al cautxú ||| al·lèrgia a la goma	ca	01012021					al·lèrgia al cautxú 	al·lèrgia a la goma
	al·lèrgia al cefaclor	ca	01012021					al·lèrgia al cefaclor	
	al·lèrgia al cefadroxil	ca	01012021					al·lèrgia al cefadroxil	
	al·lèrgia al cefamandole	ca	01012021					al·lèrgia al cefamandole	
	al·lèrgia al ceftibutèn	ca	01012021					al·lèrgia al ceftibutèn	
	al·lèrgia al celiprolol	ca	01012021					al·lèrgia al celiprolol	
	al·lèrgia al cetilpiridini	ca	01012021					al·lèrgia al cetilpiridini	
	al·lèrgia al ciclandelat	ca	01012021					al·lèrgia al ciclandelat	
	al·lèrgia al ciclobarbital ||| al·lèrgia a la ciclobarbitona	ca	01012021					al·lèrgia al ciclobarbital 	al·lèrgia a la ciclobarbitona
	al·lèrgia al ciclofenil	ca	01012021					al·lèrgia al ciclofenil	
	al·lèrgia al ciclopentolat	ca	01012021					al·lèrgia al ciclopentolat	
	al·lèrgia al cigró||| al·lèrgia a la llavor de la cigronera (Cicer arietinum)  ||| al·lèrgia a la llavor del cigró (Cicer arietinum)||| al·lèrgia al ciuró	ca	01012021					al·lèrgia al cigró	al·lèrgia a la llavor de la cigronera (Cicer arietinum)  ||| al·lèrgia a la llavor del cigró (Cicer arietinum)||| al·lèrgia al ciuró
	al·lèrgia al ciprofibrat	ca	01012021					al·lèrgia al ciprofibrat	
	al·lèrgia al cirerer (Prunus avium)	ca	01012021					al·lèrgia al cirerer (Prunus avium)	
	al·lèrgia al cisplatí ||| al·lèrgia al CDDP	ca	01012021					al·lèrgia al cisplatí 	al·lèrgia al CDDP
	al·lèrgia al citalopram	ca	01012021					al·lèrgia al citalopram	
	al·lèrgia al citrat d'orfenadrina ||| al·lèrgia al citrat de mefenamina	ca	01012021					al·lèrgia al citrat d'orfenadrina 	al·lèrgia al citrat de mefenamina
	al·lèrgia al citrat de liti	ca	01012021					al·lèrgia al citrat de liti	
	al·lèrgia al clavell d'espècia||| al·lèrgia a la poncella deshidratada del claveller (Syzygium aromaticum)||| al·lèrgia al clau d'espècia	ca	01012021					al·lèrgia al clavell d'espècia	al·lèrgia a la poncella deshidratada del claveller (Syzygium aromaticum)||| al·lèrgia al clau d'espècia
	al·lèrgia al clioquinol||| al·lèrgia a la iodoclorohidroxiquinina ||| al·lèrgia a la iodoclorohidroxiquinolina	ca	01012021					al·lèrgia al clioquinol	al·lèrgia a la iodoclorohidroxiquinina ||| al·lèrgia a la iodoclorohidroxiquinolina
	al·lèrgia al clobazam	ca	01012021					al·lèrgia al clobazam	
	al·lèrgia al clobetasol	ca	01012021					al·lèrgia al clobetasol	
	al·lèrgia al clodronat sòdic	ca	01012021					al·lèrgia al clodronat sòdic	
	al·lèrgia al clofibrat	ca	01012021					al·lèrgia al clofibrat	
	al·lèrgia al clometiazole	ca	01012021					al·lèrgia al clometiazole	
	al·lèrgia al clomifè	ca	01012021					al·lèrgia al clomifè	
	al·lèrgia al clonazepam	ca	01012021					al·lèrgia al clonazepam	
	al·lèrgia al clopidogrel	ca	01012021					al·lèrgia al clopidogrel	
	"al·lèrgia al cloral||| al·lèrgia a l'aldehid tricloroacètic 


||| al·lèrgia al tricloroacetaldehid||| al·lèrgia als sedants derivats del cloral"	ca	01012021					al·lèrgia al cloral	"al·lèrgia a l'aldehid tricloroacètic 


||| al·lèrgia al tricloroacetaldehid||| al·lèrgia als sedants derivats del cloral"
	al·lèrgia al clorambucil	ca	01012021					al·lèrgia al clorambucil	
	al·lèrgia al cloramfenicol ||| al·lèrgia a la cloromicetina	ca	01012021					al·lèrgia al cloramfenicol 	al·lèrgia a la cloromicetina
	al·lèrgia al clorazepat dipotàssic ||| al·lèrgia al clorazepat	ca	01012021					al·lèrgia al clorazepat dipotàssic 	al·lèrgia al clorazepat
	al·lèrgia al clordiazepòxid	ca	01012021					al·lèrgia al clordiazepòxid	
	al·lèrgia al clorhidrat d'isoetarina	ca	01012021					al·lèrgia al clorhidrat d'isoetarina	
	al·lèrgia al clorhidrat d'orfenadrina ||| al·lèrgia al clorhidrat de mefenamina	ca	01012021					al·lèrgia al clorhidrat d'orfenadrina 	al·lèrgia al clorhidrat de mefenamina
	al·lèrgia al clorhidrat de bromhexina	ca	01012021					al·lèrgia al clorhidrat de bromhexina	
	al·lèrgia al clorhidrat de clorhexidina-sulfat de neomicina	ca	01012021					al·lèrgia al clorhidrat de clorhexidina-sulfat de neomicina	
	al·lèrgia al clorhidrat de fenilpropanolamina	ca	01012021					al·lèrgia al clorhidrat de fenilpropanolamina	
	al·lèrgia al clorhidrat de meclozina	ca	01012021					al·lèrgia al clorhidrat de meclozina	
	al·lèrgia al clorhidrat de piperidolat	ca	01012021					al·lèrgia al clorhidrat de piperidolat	
	al·lèrgia al clorhidrat de terodilina	ca	01012021					al·lèrgia al clorhidrat de terodilina	
	al·lèrgia al clorhidrat de tetraciclina	ca	01012021					al·lèrgia al clorhidrat de tetraciclina	
	al·lèrgia al cloroxilenol	ca	01012021					al·lèrgia al cloroxilenol	
	al·lèrgia al clorprotixè	ca	01012021					al·lèrgia al clorprotixè	
	al·lèrgia al clorur d'acetilcolina	ca	01012021					al·lèrgia al clorur d'acetilcolina	
	al·lèrgia al clorur de lacesina	ca	01012021					al·lèrgia al clorur de lacesina	
	al·lèrgia al clotrimazole	ca	01012021					al·lèrgia al clotrimazole	
	al·lèrgia al coco||| al·lèrgia al fruit del cocoter (Cocos nucifera)	ca	01012021					al·lèrgia al coco	al·lèrgia al fruit del cocoter (Cocos nucifera)
	al·lèrgia al cogombre||| al·lèrgia al fruit de la cogombrera (Cucumis sativus) ||| al·lèrgia al fruit del cogombre (Cucumis sativus)	ca	01012021					al·lèrgia al cogombre	al·lèrgia al fruit de la cogombrera (Cucumis sativus) ||| al·lèrgia al fruit del cogombre (Cucumis sativus)
	al·lèrgia al colestipol	ca	01012021					al·lèrgia al colestipol	
	al·lèrgia al colfosceril	ca	01012021					al·lèrgia al colfosceril	
	al·lèrgia al col·lagen	ca	01012021					al·lèrgia al col·lagen	
	al·lèrgia al col·liri d'hipromel·losa	ca	01012021					al·lèrgia al col·liri d'hipromel·losa	
	al·lèrgia al col·lodió	ca	01012021					al·lèrgia al col·lodió	
	al·lèrgia al comí de prat (Carum carvi) ||| al·lèrgia a l'alcaravia (Carum carvi)	ca	01012021					al·lèrgia al comí de prat (Carum carvi) 	al·lèrgia a l'alcaravia (Carum carvi)
	al·lèrgia al complex vitamínic B ||| al·lèrgia a les vitamines B||| al·lèrgia a les vitamines del complex B||| al·lèrgia a les vitamines del grup B  ||| al·lèrgia al complex de la vitamina B||| al·lèrgia al grup de la vitamina B	ca	01012021					al·lèrgia al complex vitamínic B 	al·lèrgia a les vitamines B||| al·lèrgia a les vitamines del complex B||| al·lèrgia a les vitamines del grup B  ||| al·lèrgia al complex de la vitamina B||| al·lèrgia al grup de la vitamina B
	al·lèrgia al corc del blat (Sitophilus granarius) ||| al·lèrgia al corc dels cereals (Sitophilus granarius)	ca	01012021					al·lèrgia al corc del blat (Sitophilus granarius) 	al·lèrgia al corc dels cereals (Sitophilus granarius)
	al·lèrgia al coriandre (Coriandrum sativum) ||| al·lèrgia al celiandre (Coriandrum sativum)	ca	01012021					al·lèrgia al coriandre (Coriandrum sativum) 	al·lèrgia al celiandre (Coriandrum sativum)
	al·lèrgia al cranc de riu (Astacus astacus)	ca	01012021					al·lèrgia al cranc de riu (Astacus astacus)	
	al·lèrgia al cromoglicat sòdic ||| al·lèrgia a la cromolina sòdica ||| al·lèrgia al cromoglicat de sodi	ca	01012021					al·lèrgia al cromoglicat sòdic 	al·lèrgia a la cromolina sòdica ||| al·lèrgia al cromoglicat de sodi
	al·lèrgia al crotamitó	ca	01012021					al·lèrgia al crotamitó	
	al·lèrgia al cuc de la farina (Tenebrio molitor) ||| al·lèrgia al cuc de rossinyol (Tenebrio molitor)	ca	01012021					al·lèrgia al cuc de la farina (Tenebrio molitor) 	al·lèrgia al cuc de rossinyol (Tenebrio molitor)
	al·lèrgia al cuc de sang (Chironomus thummi)	ca	01012021					al·lèrgia al cuc de sang (Chironomus thummi)	
	al·lèrgia al curri	ca	01012021					al·lèrgia al curri	
	al·lèrgia al dàctil (Dactylis glomerata) ||| al·lèrgia a les cucurulles (Dactylis glomerata)	ca	01012021					al·lèrgia al dàctil (Dactylis glomerata) 	al·lèrgia a les cucurulles (Dactylis glomerata)
	al·lèrgia al danaparoide sòdic	ca	01012021					al·lèrgia al danaparoide sòdic	
	al·lèrgia al danazol	ca	01012021					al·lèrgia al danazol	
	al·lèrgia al dantró	ca	01012021					al·lèrgia al dantró	
	al·lèrgia al dantrolè	ca	01012021					al·lèrgia al dantrolè	
	al·lèrgia al decanoat d'haloperidol	ca	01012021					al·lèrgia al decanoat d'haloperidol	
	al·lèrgia al decanoat de flufenazina	ca	01012021					al·lèrgia al decanoat de flufenazina	
	al·lèrgia al decanoat de flupentixol	ca	01012021					al·lèrgia al decanoat de flupentixol	
	al·lèrgia al decanoat de zuclopentixol	ca	01012021					al·lèrgia al decanoat de zuclopentixol	
	al·lèrgia al demecari	ca	01012021					al·lèrgia al demecari	
	al·lèrgia al dequalini	ca	01012021					al·lèrgia al dequalini	
	al·lèrgia al desflurà	ca	01012021					al·lèrgia al desflurà	
	al·lèrgia al dexketoprofèn	ca	01012021					al·lèrgia al dexketoprofèn	
	al·lèrgia al dextropropoxifè	ca	01012021					al·lèrgia al dextropropoxifè	
	al·lèrgia al diacetat d'etinodiol	ca	01012021					al·lèrgia al diacetat d'etinodiol	
	al·lèrgia al diazepam	ca	01012021					al·lèrgia al diazepam	
	al·lèrgia al diazòxid	ca	01012021					al·lèrgia al diazòxid	
	al·lèrgia al diclofenac	ca	01012021					al·lèrgia al diclofenac	
	al·lèrgia al dienestrol	ca	01012021					al·lèrgia al dienestrol	
	al·lèrgia al dietilestilbestrol ||| al·lèrgia a l'estilbestrol  ||| al·lèrgia a l'estrostilbèn||| al·lèrgia al DES	ca	01012021					al·lèrgia al dietilestilbestrol 	al·lèrgia a l'estilbestrol  ||| al·lèrgia a l'estrostilbèn||| al·lèrgia al DES
	al·lèrgia al diisocianat d'hexametilè ||| al·lèrgia a l'HDI	ca	01012021					al·lèrgia al diisocianat d'hexametilè 	al·lèrgia a l'HDI
	al·lèrgia al diisocianat de difenilmetà ||| al·lèrgia a l'MDI	ca	01012021					al·lèrgia al diisocianat de difenilmetà 	al·lèrgia a l'MDI
	al·lèrgia al diisocianat de toluè ||| al·lèrgia al TDI	ca	01012021					al·lèrgia al diisocianat de toluè 	al·lèrgia al TDI
	al·lèrgia al diltiazem	ca	01012021					al·lèrgia al diltiazem	
	al·lèrgia al dimenhidrinat	ca	01012021					al·lèrgia al dimenhidrinat	
	al·lèrgia al dimercaprol ||| al·lèrgia a l'antilewisita	ca	01012021					al·lèrgia al dimercaprol 	al·lèrgia a l'antilewisita
	al·lèrgia al dimetindè	ca	01012021					al·lèrgia al dimetindè	
	al·lèrgia al dinitrat d'isosorbida	ca	01012021					al·lèrgia al dinitrat d'isosorbida	
	al·lèrgia al dinitrat d'isosorbida d'alliberament modificat	ca	01012021					al·lèrgia al dinitrat d'isosorbida d'alliberament modificat	
	al·lèrgia al dinitrat d'isosorbida per via oral	ca	01012021					al·lèrgia al dinitrat d'isosorbida per via oral	
	al·lèrgia al dinitrat d'isosorbida per via parenteral	ca	01012021					al·lèrgia al dinitrat d'isosorbida per via parenteral	
	al·lèrgia al dinoprost	ca	01012021					al·lèrgia al dinoprost	
	al·lèrgia al dipiridamole	ca	01012021					al·lèrgia al dipiridamole	
	al·lèrgia al disulfiram	ca	01012021					al·lèrgia al disulfiram	
